4	0.1	2	627	110
7	0.1	2	753	90
10	0.1	2	843	94
4	0.3	2	625	99
7	0.3	2	789	90
10	0.3	2	799	95
4	0.5	2	602	101
7	0.5	2	773	100
10	0.5	2	919	90
4	0.1	6	726	96
7	0.1	6	773	90
10	0.1	6	812	87
4	0.3	6	726	92
7	0.3	6	808	95
10	0.3	6	800	95
4	0.5	6	738	94
7	0.5	6	812	92
10	0.5	6	847	91
4	0.1	10	736	93
7	0.1	10	820	91
10	0.1	10	857	98
4	0.3	10	710	91
7	0.3	10	820	92
10	0.3	10	797	91
4	0.5	10	783	95
7	0.5	10	841	92
10	0.5	10	855	90
4	0.1	2	625	94
7	0.1	2	783	104
10	0.1	2	836	97
4	0.3	2	663	98
7	0.3	2	791	98
10	0.3	2	852	89
4	0.5	2	614	91
7	0.5	2	796	89
10	0.5	2	807	95
4	0.1	6	709	93
7	0.1	6	801	93
10	0.1	6	845	96
4	0.3	6	733	104
7	0.3	6	780	90
10	0.3	6	861	90
4	0.5	6	726	94
7	0.5	6	834	91
10	0.5	6	807	93
4	0.1	10	728	89
7	0.1	10	803	91
10	0.1	10	873	93
4	0.3	10	775	97
7	0.3	10	838	92
10	0.3	10	831	92
4	0.5	10	722	90
7	0.5	10	799	91
10	0.5	10	971	86
