4	0.1	2	592	92
7	0.1	2	762	93
10	0.1	2	812	91
4	0.3	2	599	93
7	0.3	2	757	89
10	0.3	2	810	92
4	0.5	2	584	93
7	0.5	2	734	91
10	0.5	2	782	91
4	0.1	6	683	89
7	0.1	6	804	94
10	0.1	6	785	90
4	0.3	6	716	97
7	0.3	6	788	93
10	0.3	6	896	96
4	0.5	6	728	89
7	0.5	6	795	103
10	0.5	6	862	100
4	0.1	10	715	89
7	0.1	10	805	102
10	0.1	10	763	87
4	0.3	10	743	93
7	0.3	10	789	92
10	0.3	10	786	93
4	0.5	10	678	88
7	0.5	10	829	93
10	0.5	10	840	87
4	0.1	2	603	92
7	0.1	2	743	92
10	0.1	2	801	94
4	0.3	2	606	92
7	0.3	2	746	91
10	0.3	2	780	92
4	0.5	2	602	88
7	0.5	2	761	91
10	0.5	2	819	91
4	0.1	6	729	95
7	0.1	6	786	93
10	0.1	6	815	102
4	0.3	6	713	91
7	0.3	6	824	91
10	0.3	6	787	90
4	0.5	6	675	90
7	0.5	6	866	96
10	0.5	6	804	101
4	0.1	10	734	93
7	0.1	10	820	90
10	0.1	10	818	91
4	0.3	10	673	87
7	0.3	10	760	87
10	0.3	10	761	93
4	0.5	10	645	91
7	0.5	10	755	87
10	0.5	10	789	92
